"sample"	"description"	"taxon"	"taxon_rel_function_abun"
"1"	"HC-DS"	"ABC transporters"	"Anaerospora"	2.86044158349778
"2"	"HC-DS"	"ABC transporters"	"Clostridiaceae"	0.765663040876176
"3"	"HC-DS"	"ABC transporters"	"Desulfosporosinus"	0.018566029119209
"4"	"HC-DS"	"ABC transporters"	"Klebsiella"	128.124626681906
"5"	"HC-DS"	"ABC transporters"	"Lachnospiraceae"	3.77686997542683
"6"	"HC-DS"	"ABC transporters"	"Lactobacillus"	0.003465658768919
"7"	"HC-DS"	"ABC transporters"	"Pseudomonas"	0.210853508610231
"8"	"HC-DS"	"African trypanosomiasis"	"Clostridiaceae"	0.07050879727639
"9"	"HC-DS"	"African trypanosomiasis"	"Klebsiella"	4.78171989565728
"10"	"HC-DS"	"African trypanosomiasis"	"Pseudomonas"	0.014938850199199
"11"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Anaerospora"	5.04209016594849
"12"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Clostridiaceae"	1.70921533151874
"13"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Desulfosporosinus"	0.035489825200241
"14"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Klebsiella"	92.2640393174472
"15"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Lachnospiraceae"	3.59902951102519
"16"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Lactobacillus"	0.005175599508368
"17"	"HC-DS"	"Alanine, aspartate and glutamate metabolism"	"Pseudomonas"	0.200940010300411
"18"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Anaerospora"	3.55694150441036
"19"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Clostridiaceae"	1.24122773221777
"20"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Desulfosporosinus"	0.009013064445565
"21"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Klebsiella"	71.8551541148571
"22"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Lachnospiraceae"	3.54572560409494
"23"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Lactobacillus"	0.009013064445565
"24"	"HC-DS"	"Amino sugar and nucleotide sugar metabolism"	"Pseudomonas"	0.059743741467743
"25"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Anaerospora"	6.24365058621787
"26"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Clostridiaceae"	1.45768486972003
"27"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Desulfosporosinus"	0.027572682496568
"28"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Klebsiella"	76.4072082978615
"29"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Lachnospiraceae"	4.35082260585447
"30"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Lactobacillus"	0.00792318462545
"31"	"HC-DS"	"Aminoacyl-tRNA biosynthesis"	"Pseudomonas"	0.126046548555738
"32"	"HC-DS"	"Aminobenzoate degradation"	"Clostridiaceae"	0.126915835097502
"33"	"HC-DS"	"Aminobenzoate degradation"	"Klebsiella"	38.9336056325132
"34"	"HC-DS"	"Aminobenzoate degradation"	"Lachnospiraceae"	0.159110345108689
"35"	"HC-DS"	"Aminobenzoate degradation"	"Lactobacillus"	0.000676111754705
"36"	"HC-DS"	"Aminobenzoate degradation"	"Pseudomonas"	0.080669791075673
"37"	"HC-DS"	"Apoptosis"	"Pseudomonas"	0.017348342166811
"38"	"HC-DS"	"Arginine and proline metabolism"	"Anaerospora"	2.80468686858132
"39"	"HC-DS"	"Arginine and proline metabolism"	"Clostridiaceae"	0.663512878117066
"40"	"HC-DS"	"Arginine and proline metabolism"	"Desulfosporosinus"	0.013035751971323
"41"	"HC-DS"	"Arginine and proline metabolism"	"Klebsiella"	68.5582153306328
