"description"	"HC.DS"	"HC.HD"	"HC.HX"	"HC.XY"
"ko00010"	"Glycolysis / Gluconeogenesis"	0.0140509217146414	0.0138621968874617	0.0143617555027394	0.0136768943673738
"ko00020"	"Citrate cycle (TCA cycle)"	0.0123287007408279	0.0120322905460814	0.0130555989104663	0.0126039927842463
"ko00030"	"Pentose phosphate pathway"	0.0166727933477051	0.0163099619734077	0.0165905933663491	0.0160592229989932
"ko00040"	"Pentose and glucuronate interconversions"	0.0110777555903793	0.0112959557080674	0.0112333459525987	0.0104996062090102
"ko00051"	"Fructose and mannose metabolism"	0.0124588340170762	0.0120733823045651	0.0124183172506963	0.0115668337530463
"ko00052"	"Galactose metabolism"	0.00898603651677808	0.00921322336443274	0.00867724088675298	0.00804642444761759
"ko00053"	"Ascorbate and aldarate metabolism"	0.0113885904507815	0.0110114458403415	0.0119068119675826	0.0111575284990286
"ko00061"	"Fatty acid biosynthesis"	0.0136763115903985	0.0140207110987436	0.0138258822141765	0.0135866114476802
"ko00071"	"Fatty acid metabolism"	0.0064032872197908	0.00660417480058565	0.00697283278022554	0.00752018657854454
"ko00072"	"Synthesis and degradation of ketone bodies"	0.0137619979831399	0.0137701613405644	0.0150070028309279	0.0154949447332042
"ko00100"	"Steroid biosynthesis"	0	0	2.07732984106477e-05	7.78502492046606e-05
"ko00120"	"Primary bile acid biosynthesis"	2.36934757692872e-05	2.89949696815638e-06	4.26145441691065e-05	2.3477415264865e-05
"ko00121"	"Secondary bile acid biosynthesis"	0.000213241281923585	2.60954727134074e-05	0.000383530897521959	0.000211296737383785
"ko00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	0.0102094458042481	0.00991082255319183	0.0106865288205892	0.0098658386769903
"ko00140"	"Steroid hormone biosynthesis"	0.000493954977420708	0.000507043406608527	0.000547271340881509	0.000544106882551745
"ko00190"	"Oxidative phosphorylation"	0.0046223667865893	0.00450687095697535	0.0047137702545313	0.00463678597284265
"ko00195"	"Photosynthesis"	0.00281613210337446	0	0.00280960314359776	0
"ko00230"	"Purine metabolism"	0.00735935653810388	0.00729221996390095	0.00736414731385319	0.00722672386696982
"ko00240"	"Pyrimidine metabolism"	0.00847574394223491	0.00831494177010272	0.00831794700083283	0.00807377057391419
"ko00250"	"Alanine, aspartate and glutamate metabolism"	0.0120118056409631	0.0120443137027583	0.0120449302870733	0.0119575095624565
"ko00253"	"Tetracycline biosynthesis"	0	0	0	0.00501578333196475
"ko00260"	"Glycine, serine and threonine metabolism"	0.0122332835680256	0.0120832329835414	0.0124984948209647	0.0121870316530363
"ko00270"	"Cysteine and methionine metabolism"	0.0126243392223306	0.0125316238544726	0.0127137612828863	0.0120666778558358
"ko00280"	"Valine, leucine and isoleucine degradation"	0.00590040670505208	0.00587453364787873	0.00628034651172307	0.00686288797484032
"ko00281"	"Geraniol degradation"	0.00727303998871312	0.00758805886070095	0.00842709931550901	0.009584790491009
"ko00290"	"Valine, leucine and isoleucine biosynthesis"	0.0181820438548264	0.0179741929493626	0.0179197039496665	0.0176510213632153
"ko00300"	"Lysine biosynthesis"	0.0107355033433041	0.0105922531421012	0.0104545964940805	0.010597750703883
"ko00310"	"Lysine degradation"	0.00359786873363706	0.00376850956053431	0.00389344894749881	0.00415423904960759
"ko00311"	"Penicillin and cephalosporin biosynthesis"	6.36564228669762e-05	0.000277789019843257	6.24527734733759e-05	0.000407807977223801
"ko00312"	"beta-Lactam resistance"	0.00268688042091901	0.00321969280843333	0.00246120954397049	0.00258672116692363
"ko00330"	"Arginine and proline metabolism"	0.00866017938650954	0.00873754747867008	0.00880305061667591	0.00864269625537829
"ko00340"	"Histidine metabolism"	0.00802190362790166	0.0080939722238307	0.00786390100858915	0.00809539638507784
"ko00350"	"Tyrosine metabolism"	0.0069419509193643	0.00700924476123385	0.00740623597153351	0.00748160124737785
"ko00360"	"Phenylalanine metabolism"	0.0079181095215209	0.00795161449094841	0.00832752283155177	0.00798321775387202
"ko00361"	"Chlorocyclohexane and chlorobenzene degradation"	0.00372043908133244	0.00383978157822741	0.00402645432552055	0.00390776810113665
"ko00362"	"Benzoate degradation"	0.0095888616932336	0.00944514495763903	0.0104229739203766	0.0103978600101711
"ko00380"	"Tryptophan metabolism"	0.00386929745425859	0.00406301352705395	0.00420083201343082	0.00453455209729383
"ko00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	0.00984866292110395	0.00979728676532144	0.00968933848544406	0.00960535839483654
"ko00410"	"beta-Alanine metabolism"	0.0071680905826458	0.00728987520506553	0.00742524305200184	0.0076869989104393
"ko00430"	"Taurine and hypotaurine metabolism"	0.00667278198908865	0.00661587998817012	0.00678093168492643	0.00669235808416844
"ko00440"	"Phosphonate and phosphinate metabolism"	0.00416529866662556	0.00397466253093735	0.00418080347613143	0.00400441463120833
"ko00450"	"Selenocompound metabolism"	0.0127187009567692	0.0130344734041636	0.0129130543511346	0.0123508430117523
"ko00471"	"D-Glutamine and D-glutamate metabolism"	0.0116782764297032	0.011411789119788	0.011332351031725	0.0117394302417614
"ko00472"	"D-Arginine and D-ornithine metabolism"	6.38410883707368e-05	5.51312803804382e-06	0	0.000156203932659389
"ko00473"	"D-Alanine metabolism"	0.0139564528534091	0.0139416961937703	0.013929013333056	0.0138611322526088
"ko00480"	"Glutathione metabolism"	0.0121681729952379	0.0121936886649862	0.0131111741772728	0.0127320454923004
"ko00500"	"Starch and sucrose metabolism"	0.0107461220931878	0.0110186608233606	0.0106274566910416	0.00979270725316041
"ko00510"	"N-Glycan biosynthesis"	4.54377777995188e-05	1.30644428053038e-05	5.25674376334573e-06	2.8250749766381e-05
"ko00511"	"Other glycan degradation"	0.00286019648917027	0.00408569572636148	0.00246679043011067	0.00224535000096023
"ko00520"	"Amino sugar and nucleotide sugar metabolism"	0.00937494881146515	0.00938000257946744	0.00912914120327632	0.00868138708143605
"ko00521"	"Streptomycin biosynthesis"	0.0112051431055317	0.0113477258913529	0.0106710676989861	0.0100004761688802
"ko00531"	"Glycosaminoglycan degradation"	0	0.000195999577649655	0	0
"ko00540"	"Lipopolysaccharide biosynthesis"	0.0116237145089598	0.0106464840469971	0.0117437966949222	0.0113288985028082
"ko00550"	"Peptidoglycan biosynthesis"	0.0137926971092798	0.0138020509174027	0.0137168471889064	0.0134369634280308
"ko00561"	"Glycerolipid metabolism"	0.00828971718863772	0.00814861840536469	0.00836907650882423	0.00789568546788661
"ko00562"	"Inositol phosphate metabolism"	0.00600553261605297	0.00586800942152614	0.00636355823992885	0.00596179338747005
"ko00564"	"Glycerophospholipid metabolism"	0.0075365364163781	0.00749486907919188	0.00780521032118637	0.00753058149316161
"ko00591"	"Linoleic acid metabolism"	0	0.000499384242434193	0.000297569748501778	0.001143876495394
"ko00620"	"Pyruvate metabolism"	0.0140068750109857	0.0140132532845161	0.0144837109581974	0.0139865842225822
"ko00621"	"Dioxin degradation"	0.00906606395829357	0.00888280177557845	0.00963657367880976	0.00852416952895368
"ko00622"	"Xylene degradation"	0	0.00537371756934581	0	0
"ko00624"	"Polycyclic aromatic hydrocarbon degradation"	0	0	0	0.00162523587686784
"ko00625"	"Chloroalkane and chloroalkene degradation"	0.00302114965561353	0.00396204056423682	0	0.00333890454503866
"ko00627"	"Aminobenzoate degradation"	0.00458967681719794	0.00459884579007933	0.00506680384686932	0.00541917545152048
"ko00630"	"Glyoxylate and dicarboxylate metabolism"	0.0102977259422976	0.0101337253828852	0.0106681598130258	0.0102811002896228
"ko00633"	"Nitrotoluene degradation"	0.00269444917961782	0.00247868955762724	0.00269631494248544	0.00260039535073365
"ko00640"	"Propanoate metabolism"	0.00793690509895231	0.00785454590508555	0.00812396629730058	0.00843608927346459
"ko00643"	"Styrene degradation"	0.00300791336910405	0.00325255292328107	0.00332963590603104	0.00368551443920255
