pathway	description	HC-DS	HC-HD	HC-HX	HC-XY
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	18543.370650735545	20063.26693428396	19629.40248313746	19722.096642712237
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	15804.129313310368	17515.370765932952	18610.520804836837	16600.003397999364
AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	0.0	0.0	31.935802110004094
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	19011.608562705514	20523.59809814699	21502.884392510743	19788.09404050263
ANAEROFRUCAT-PWY	homolactic fermentation	22622.268846348983	24678.774270076054	24507.394244596388	23034.26222746902
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	23392.466962130347	25825.51753676944	24497.1024635419	23473.29240539973
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	18265.6885123776	19693.678340321047	19072.403728366226	17686.537895663296
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	16314.497691418688	17665.29514693415	19054.93820789677	17134.41369569211
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	109.23413085129016	1379.918751571133	23.877082265777045	649.0132197224721
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	17952.086687427378	19744.795135978613	18778.21158775702	18578.627348877493
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	18475.18893255998	20041.794922066845	18954.305405851403	18754.247691931945
ARO-PWY	chorismate biosynthesis I	25520.90597563574	27899.877974685936	27247.657383455717	26553.75184936968
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	20198.538296684423	23464.68667217236	20626.670061443645	20561.10923790285
AST-PWY	L-arginine degradation II (AST pathway)	27970.836922667917	30403.676039426235	33202.82889595475	30958.71192764536
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	21536.04728276531	23388.70946085486	24823.762403340592	23609.14701634098
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	22463.770658182784	24543.717003963186	23555.0629491681	23854.819335315355
CALVIN-PWY	Calvin-Benson-Bassham cycle	35978.695455071684	38280.46917929848	39011.62667487544	36920.40556192176
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	13114.200000000004	14386.526360995887	15900.669057630472	15701.526370324384
CENTFERM-PWY	pyruvate fermentation to butanoate	702.1704634103679	25.91234544444246	119.68023353979052	935.6603973059252
COA-PWY	coenzyme A biosynthesis I	17404.150474830447	19131.824428069667	18132.97372700302	17926.809999999998
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	17419.188246424754	18487.013858018647	17951.808684228894	17876.28413935843
CODH-PWY	reductive acetyl coenzyme A pathway	20.907974691996927	0.0	24.259398496240603	0.0
COLANSYN-PWY	colanic acid building blocks biosynthesis	6268.783664382797	7101.748710390054	7290.062393149728	6617.019523045461
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	26377.96696818171	28870.153830030147	28112.61688536143	27412.61138849888
DAPLYSINESYN-PWY	L-lysine biosynthesis I	22747.64884395665	24983.76800993751	24078.163590629894	23841.861058558152
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	0.0	0.0	57.34727935127512	0.0
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	19406.611489213414	20705.306282619826	20426.99824265264	19980.71042562729
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	57.85997820344254	1096.720245495492	0.0	437.38072869838857
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	6338.473967031255	9032.248853411	2450.707610264308	5035.94414513015
ECASYN-PWY	enterobacterial common antigen biosynthesis	15645.964344274593	16677.707176065636	17565.11668403575	15499.29938994558
ENTBACSYN-PWY	enterobactin biosynthesis	16680.635495943832	17633.443895822224	17681.581517388724	16227.576717094533
FAO-PWY	fatty acid &beta;-oxidation I	33130.75132709691	36447.02350475652	39789.0428467896	37390.64636266186
FASYN-ELONG-PWY	fatty acid elongation -- saturated	26483.63814736327	29583.94381074497	30972.232917496785	29183.035038939983
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	21102.547294472737	23956.017749332565	24483.15082684657	23157.58129618509
FERMENTATION-PWY	mixed acid fermentation	26165.371302266816	27986.02627522066	29602.41287375363	27669.25316125579
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	20844.61758358686	22083.066380677294	22732.56512027239	22967.492373653207
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	13893.124782515224	15839.098488046176	15293.0435915811	13651.589023630302
FUCCAT-PWY	fucose degradation	14263.063875922751	16236.198330686238	15366.986108614095	13865.196489740743
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	18487.48847050001	21307.771047954644	20166.45282908793	18349.13533702818
GALACTARDEG-PWY	D-galactarate degradation I	13220.335408875815	14166.097238942844	15397.91072831534	14427.196943646286
