"Genus"	"HC-DS"	"HC-XY"	"HC-HX"	"HC-HD"
"1"	"Achromobacter"	0	0.813302006144949	0	0
"2"	"Acinetobacter"	0	3.77733598409543	2.28382422428729	0
"3"	"Anaerocolumna"	4.02847716617468	2.62063979757817	0	4.53882610280715
"4"	"Anaerospora"	3.03872200034728	0.614494849087294	0	0
"5"	"Bacteroides"	0	0	0	0.1822821728035
"6"	"Clostridium_sensu_stricto_10"	0	2.6387131754925	0.330760749724366	0
"7"	"Comamonas"	0	0	0.472515356749094	0
"8"	"Desulfosporosinus"	0.399374891474214	0	0.53551740431564	0
"9"	"Enterobacter"	0	0.307247424543647	0.645770987557096	0.16405395552315
"10"	"Klebsiella"	90.0503559645772	85.4690041568769	94.0148054811781	90.6853809697412
"11"	"Lactobacillus"	0	0	0.0787525594581824	0
"12"	"Ochrobactrum"	0	0	0	0.0911410864017499
"13"	"Prevotella"	0	0	0.409513309182548	0
"14"	"Pseudomonas"	0.191005382878972	1.44587023314658	0	4.3383157127233
"15"	"Serratia"	0.382010765757944	1.46394361106091	0	0
"16"	"Stenotrophomonas"	0	0.849448761973613	0.945030713498189	0
"17"	"Streptococcus"	0	0	0.283509214049457	0
"18"	NA	1.91005382878972	0	0	0
