#OTU ID	description	HC-DS	HC-HD	HC-HX	HC-XY
EC:1.1.1.1	Alcohol dehydrogenase	35458.9923762749	43148.5657643613	40565.2020765175	42096.1857914259
EC:1.1.1.10	L-xylulose reductase	0.0	2.32181992303682e-55	0.0	3.3270611069345095e-55
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	38017.5083772431	44191.1942732239	44362.7127371756	44436.4653553964
EC:1.1.1.101	Acylglycerone-phosphate reductase	0.0	2.71233594309481e-59	0.0	3.8866525933708803e-59
EC:1.1.1.102	3-dehydrosphinganine reductase	0.0	1.1749579420300902e-15	0.0	1.68366066309705e-15
EC:1.1.1.103	L-threonine 3-dehydrogenase	9682.88425482022	10445.6653379329	11397.7178736663	9882.42463254456
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	0.0	2.2072409469341398e-56	0.0	3.16287470673986e-56
EC:1.1.1.107	Pyridoxal 4-dehydrogenase	0.0	1.5277041814595198e-40	0.0	2.18912979193803e-40
EC:1.1.1.108	Carnitine 3-dehydrogenase	0.0	9.0	68.0	1.21585096039881e-46
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	1783.75100323027	1826.28985450338	2059.80936141239	1715.18920119987
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase	916.730829487232	1435.34482922855	1266.02809162459	1083.24652031801
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	11384.1302618865	11655.3551600034	12667.9224785793	12010.0914815771
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	199.278633146	11.9000031993942	0.819635184917724	609.41653309949
EC:1.1.1.132	GDP-mannose 6-dehydrogenase	0.0	0.373158657482796	0.0	4.1383546320657594e-49
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase	11133.4375495042	16311.9371328335	11801.9497094395	13949.1221844995
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	530.627645917452	9.0	22.1323011829162	195.210895163098
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase	0.032303518168158	5.4544108378217e-42	0.471915990186129	7.81591973593847e-42
EC:1.1.1.14	L-iditol 2-dehydrogenase	3766.81539229909	3762.35451720777	3807.25010466223	3545.10474690801
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase	1041.78818832581	930.806984851809	996.341519830993	982.268749890159
EC:1.1.1.144	Perillyl-alcohol dehydrogenase	1.13679591292255e-11	1.76642140390427e-54	0.108702519227447	2.53120058669311e-54
EC:1.1.1.145	3-beta-hydroxy-Delta(5)-steroid dehydrogenase	0.0	1.9141972382360598e-56	0.0	2.7429565571160896e-56
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	1651.10209889529	1626.12077594181	992.085835587555	3534.13971462387
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase	0.142910931976798	1.93629626226089e-38	2.37843460681119	2.77462344161679e-38
EC:1.1.1.163	Cyclopentanol dehydrogenase	0.0	8.2507106738454e-54	38.6366377017201	1.18228887241248e-53
EC:1.1.1.169	2-dehydropantoate 2-reductase	11772.061238881	14464.9018254151	12441.3301626787	12415.8588798971
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	9934.62370171152	10321.6917612501	11212.3868106061	9815.87110772719
EC:1.1.1.170	(decarboxylating)	0.0	2.1654676095957902e-54	0.0	3.10301543661029e-54
EC:1.1.1.173	L-rhamnose 1-dehydrogenase	0.0	1.92611375699775e-51	0.0	2.76003238014126e-51
EC:1.1.1.178	3-hydroxy-2-methylbutyryl-CoA dehydrogenase	0.0	3.12973651625209e-123	0.0	4.48476840725684e-123
EC:1.1.1.179	D-xylose 1-dehydrogenase (NADP(+))	0.0	1.17046462270158e-128	0.0	1.67722194326757e-128
EC:1.1.1.18	Inositol 2-dehydrogenase	2763.5201940832	2653.90158498313	2811.47402321674	2509.29005044102
EC:1.1.1.181	Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase	0.0	1.74759450995328e-57	0.0	2.50422251401518e-57
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase	11301.0067980745	13129.2266147483	12838.2277401784	12990.4537544257
EC:1.1.1.195	Cinnamyl-alcohol dehydrogenase	0.0	2.66309995853242e-125	0.0	3.81609969317659e-125
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+))	4.66374416087384	2.86275672673828	0.0	3.05795543124019
EC:1.1.1.202	1,3-propanediol dehydrogenase	430.39661779359	4.38765088265898e-13	0.415269474232228	6.28730180909471e-13
EC:1.1.1.203	Uronate dehydrogenase	66.28	1326.5	68.0	575.892697252935
EC:1.1.1.205	IMP dehydrogenase	18890.3011618749	21181.5254365234	21618.0503720201	20648.2235713456
EC:1.1.1.206	Tropinone reductase I	0.0	8.87948184825476e-52	15.8	17.4
EC:1.1.1.208	(+)-neomenthol dehydrogenase	0.006616345940282	0.00716620037056	0.007792393040434	0.006712818618805
EC:1.1.1.21	Aldehyde reductase	0.0	5.45396505167414e-54	0.0	7.81528094490268e-54
EC:1.1.1.211	Long-chain-3-hydroxyacyl-CoA dehydrogenase	0.0	1.71411233804377e-123	0.0	2.4562441024120598e-123
EC:1.1.1.215	Gluconate 2-dehydrogenase	0.0	19.0160532101438	680.793444473961	1477.00002435487
EC:1.1.1.216	Farnesol dehydrogenase	0.0	8.68399677577462e-56	0.0	1.24437677697394e-55
EC:1.1.1.219	Dihydrokaempferol 4-reductase	0.08811635231419	3.55223220572821	140.604194660319	0.322575547178504
EC:1.1.1.22	UDP-glucose 6-dehydrogenase	11017.5449893052	11808.2824962015	12371.5404002012	12364.7900175981
EC:1.1.1.220	6-pyruvoyltetrahydropterin 2'-reductase	0.0	2.1371255993716202e-54	0.0	3.06240264016834e-54
EC:1.1.1.23	Histidinol dehydrogenase	11257.8273238254	13146.457418138	12813.0003276769	12630.9614779544
EC:1.1.1.234	Flavanone 4-reductase	0.0	2.47240361005699e-122	0.0	3.5428406010514797e-122
EC:1.1.1.239	3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))	0.0	4.25720012997206e-124	0.0	6.10037188342359e-124
EC:1.1.1.243	Carveol dehydrogenase	1.13679591292255e-11	2.18204157482777e-54	0.108766674668674	3.1267651661064903e-54
EC:1.1.1.244	Methanol dehydrogenase	0.0	8.89610566834691e-127	0.0	1.2747710052218e-126
EC:1.1.1.25	Shikimate dehydrogenase	11460.7585634519	13702.1202532988	12977.7373609085	13103.8857462218
EC:1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase	4.5946070410223	1.72762165609512	0.14085801095911	96.0996801244678
EC:1.1.1.252	Tetrahydroxynaphthalene reductase	0.0	2.8241521250248698e-55	0.0	4.046880036651179e-55
EC:1.1.1.26	Glyoxylate reductase	359.72002272009	1.1854320033228301e-52	2.53737122616304	13.6127219299826
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase	420.139864743166	543.970000732162	7.62600323154539	10.7102566431446
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	11942.0386155245	13792.2059348654	13860.6568928827	14531.0584635634
EC:1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))	0.0	22.6640819706234	0.0	196.426586534847
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	11304.6678442915	13129.220425922	12842.5656871176	12857.3746685749
EC:1.1.1.27	L-lactate dehydrogenase	8363.60162916842	8603.37028257984	8849.44697008211	8061.99161951651
EC:1.1.1.271	GDP-L-fucose synthase	64.8842733921321	874.211162377838	95.8260001556229	492.085538504831
EC:1.1.1.272	D-2-hydroxyacid dehydrogenase (NADP(+))	0.0	1.0041676916293899e-55	0.0	1.4389260934976298e-55
EC:1.1.1.275	(+)-trans-carveol dehydrogenase	0.0	8.85851912014692e-55	2.23268580021962	1.2693850258261e-54
EC:1.1.1.276	Serine 3-dehydrogenase (NADP(+))	0.0	6.34497905557885e-52	31.6	34.8
EC:1.1.1.28	D-lactate dehydrogenase	12079.0040707448	15417.6439724037	13814.9609143233	13502.7308680499
EC:1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase	0.021915042902311	1.5277041816707399e-40	0.120538074333665	2.18912979224071e-40
EC:1.1.1.282	Quinate/shikimate dehydrogenase	0.0	1.7991916030250297e-11	0.0	96.0000000000258
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	8698.25093229974	10622.3963953849	10593.708945146	11300.6512221639
EC:1.1.1.286	Isocitrate--homoisocitrate dehydrogenase	0.0	2.7911317609966398e-126	0.0	3.99956337449098e-126
EC:1.1.1.287	D-arabinitol dehydrogenase (NADP(+))	0.0	1.1432538403302401e-54	0.0	1.6382301442832102e-54
EC:1.1.1.289	Sorbose reductase	0.0	3.29182058857602e-55	0.0	4.7170274243029e-55
EC:1.1.1.29	Glycerate dehydrogenase	13745.723286313	16216.9602013516	15027.1203635465	13979.873412749
EC:1.1.1.290	4-phosphoerythronate dehydrogenase	9740.80999997953	11745.1799999779	11782.3199999759	11481.7599999792
