pathway	description	HC-DS	HC-HD	HC-HX	HC-XY
ko00010	Glycolysis / Gluconeogenesis	5786.047499999999	5489.941999999998	6501.220749999999	5371.2205
ko00020	Citrate cycle (TCA cycle)	5483.37222222222	5174.597037037035	6284.023703703704	5090.2955555555545
ko00030	Pentose phosphate pathway	6913.545454545455	6502.927727272726	7661.013181818183	6334.065454545454
ko00040	Pentose and glucuronate interconversions	4569.628846153846	4401.004615384614	5097.209615384615	4193.663076923075
ko00051	Fructose and mannose metabolism	4768.962121212119	4510.255757575756	5256.350909090908	4329.726060606059
ko00052	Galactose metabolism	3357.0931034482765	3219.3751724137933	3607.383103448277	3066.138620689655
ko00053	Ascorbate and aldarate metabolism	2820.413888888889	2733.607222222223	3312.0461111111117	2650.845555555556
ko00061	Fatty acid biosynthesis	6774.261538461539	6404.988461538462	7558.878461538461	6330.546153846154
ko00071	Fatty acid metabolism	3067.341666666667	2989.032083333333	3627.174583333333	2956.6783333333333
ko00072	Synthesis and degradation of ketone bodies	6394.25	6198.9475	7537.324999999999	6138.715
ko00100	Steroid biosynthesis	0.0	0.0	6.03125	0.0
ko00120	Primary bile acid biosynthesis	0.0	9.38888888888889	20.77777777777778	7.444444444444445
ko00121	Secondary bile acid biosynthesis	0.0	25.0	187.0	47.0
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	4944.3975	4717.5755	5693.525	4557.746999999999
ko00140	Steroid hormone biosynthesis	0.0	3.861111111111111	10.23611111111111	0.0
ko00190	Oxidative phosphorylation	2235.685922330096	2116.366601941747	2547.2782524271843	2088.9130097087377
ko00230	Purine metabolism	3619.8021008403375	3401.629915966386	4026.534789915962	3333.728907563024
ko00240	Pyrimidine metabolism	3901.715999999997	3636.204933333335	4286.436800000001	3577.549066666666
ko00250	Alanine, aspartate and glutamate metabolism	5331.651851851851	5014.890370370367	5891.292962962962	4926.254074074072
ko00253	Tetracycline biosynthesis	2469.1222222222223	2346.128888888889	0.0	2304.2488888888893
ko00260	Glycine, serine and threonine metabolism	5246.689705882351	4957.613529411763	5885.321764705883	4861.804117647058
ko00270	Cysteine and methionine metabolism	6081.493939393937	5739.139393939389	6752.124848484848	5561.221212121211
ko00280	Valine, leucine and isoleucine degradation	2388.391379310345	2299.658965517242	2811.110689655173	2325.535862068966
ko00281	Geraniol degradation	3212.53125	3190.55625	3973.46125	3162.9125000000004
ko00290	Valine, leucine and isoleucine biosynthesis	8543.668181818182	7988.6563636363635	9387.882727272729	7865.889090909092
ko00300	Lysine biosynthesis	4568.414999999999	4218.932	4940.463000000002	4191.658
ko00310	Lysine degradation	2497.101851851852	2399.895925925926	2880.608888888889	2351.3874074074074
ko00311	Penicillin and cephalosporin biosynthesis	28.37857142857143	62.5	37.05	72.6
ko00312	beta-Lactam resistance	152.7875	202.875	0.0	153.675
ko00330	Arginine and proline metabolism	3555.335714285712	3390.544603174603	3976.712222222221	3300.030793650794
ko00340	Histidine metabolism	4073.947368421053	3840.040526315789	4502.226315789475	3776.6410526315785
ko00350	Tyrosine metabolism	2885.664516129033	2786.820322580645	3344.8303225806453	2732.836129032258
ko00360	Phenylalanine metabolism	1682.8846153846157	1619.2157692307692	1933.060384615385	1624.6630769230771
ko00361	Chlorocyclohexane and chlorobenzene degradation	543.615	553.279	667.661	552.356
ko00362	Benzoate degradation	1312.7223684210526	1284.745263157895	1611.3655263157896	1301.973157894737
ko00363	Bisphenol degradation	975.5	937.7983333333332	0.0	882.9766666666666
ko00380	Tryptophan metabolism	2039.774193548387	1984.6903225806452	2404.624516129032	1970.3580645161287
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	3988.0758064516126	3718.0445161290313	4353.935161290324	3660.787741935483
ko00410	beta-Alanine metabolism	3711.95	3556.3062500000005	0.0	3467.04375
ko00430	Taurine and hypotaurine metabolism	3940.90625	3776.43125	4493.96875	3697.1625
ko00440	Phosphonate and phosphinate metabolism	1151.8714285714284	1112.455	1324.938571428571	1078.87
