function	description	HC-DS	HC-HD	HC-HX	HC-XY
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	612.0	2228.0	1081.0	3956.67
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	2401.78	2668.0	1282.25	4938.14
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	318.0	9.0	580.0	2386.0
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	29061.66	32056.17	32565.0	28548.18
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	13091.0	13908.0	15234.0	13076.5
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	738.2800000000001	2697.2	9.75	424.47
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	16181.5	15947.17	17330.0	15006.67
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	26645.4	28824.34	30468.0	26575.94
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	17142.39	19086.57	17995.5	18178.95
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	17253.78	18626.37	18029.25	17507.809999999998
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	59666.93	66088.37	66688.75	59952.08
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	0.0	9.0	0.0	0.0
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	15785.83	16109.0	15413.0	14234.84
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	1755.61	4871.2	53.0	671.14
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	13114.2	14412.17	15917.0	15399.31
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	14682.06	14851.0	15995.25	18042.78
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	0.0	9.0	226.0	242.01
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	16178.0	15978.57	18058.0	17083.34
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	17331.91	18148.17	17925.5	17908.68
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	14875.2	16434.37	18126.0	17210.14
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	612.0	2201.0	81.0	87.0
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	15239.98	16883.37	18631.25	19624.28
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	23.2	458.0	0.0	177.8
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	14971.28	16425.37	17411.5	15467.14
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	23.2	458.0	0.0	177.8
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	14994.48	16883.37	17409.5	15644.94
K00039	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	13091.0	13908.0	15234.0	13076.5
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	18132.66	20727.34	20191.0	17933.52
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	18132.66	20690.2	20193.0	17844.84
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	13302.86	14403.17	15838.0	15760.31
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	23.2	469.2	0.0	177.8
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	1634.44	4900.37	144.75	984.82
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	13185.33	13919.2	15236.0	13323.17
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	2503.2	3035.0	2864.0	2595.3
