"sample"	"description"	"taxon"	"taxon_rel_function_abun"
"1"	"HC-DS"	"Aminobenzoate degradation"	"Clostridiaceae"	0.126915835097502
"2"	"HC-DS"	"Aminobenzoate degradation"	"Enterobacteriaceae"	38.9336056325132
"3"	"HC-DS"	"Aminobenzoate degradation"	"Lachnospiraceae"	0.159110345108689
"4"	"HC-DS"	"Aminobenzoate degradation"	"Lactobacillaceae"	0.000676111754705
"5"	"HC-DS"	"Aminobenzoate degradation"	"Pseudomonadaceae"	0.080669791075673
"6"	"HC-DS"	"Benzoate degradation"	"Clostridiaceae"	0.160589250610034
"7"	"HC-DS"	"Benzoate degradation"	"Desulfitobacteriaceae"	0.017614490451528
"8"	"HC-DS"	"Benzoate degradation"	"Enterobacteriaceae"	80.8075043646572
"9"	"HC-DS"	"Benzoate degradation"	"Lachnospiraceae"	0.398596855616721
"10"	"HC-DS"	"Benzoate degradation"	"Lactobacillaceae"	0.000800658656888
"11"	"HC-DS"	"Benzoate degradation"	"Pseudomonadaceae"	0.116758908135842
"12"	"HC-DS"	"Benzoate degradation"	"Sporomusaceae"	0.60667050230457
"13"	"HC-DS"	"Caprolactam degradation"	"Desulfitobacteriaceae"	0.004346432708819
"14"	"HC-DS"	"Caprolactam degradation"	"Enterobacteriaceae"	56.1492874623795
"15"	"HC-DS"	"Caprolactam degradation"	"Pseudomonadaceae"	0.153656744906043
"16"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Clostridiaceae"	0.522909288968634
"17"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Desulfitobacteriaceae"	0.01638270790247
"18"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Enterobacteriaceae"	19.0774961819375
"19"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Lachnospiraceae"	4.36514688780484
"20"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Lactobacillaceae"	0.000780128947737
"21"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Pseudomonadaceae"	0.113765089978513
"22"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Sporomusaceae"	1.77334454519797
"23"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Enterobacteriaceae"	31.3667560486407
"24"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Lachnospiraceae"	0.409335442029309
"25"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Lactobacillaceae"	0.001014167632058
"26"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Pseudomonadaceae"	0.080669791075673
"27"	"HC-DS"	"Nitrotoluene degradation"	"Clostridiaceae"	0.230590204763172
"28"	"HC-DS"	"Nitrotoluene degradation"	"Desulfitobacteriaceae"	0.063570244806285
"29"	"HC-DS"	"Nitrotoluene degradation"	"Enterobacteriaceae"	20.675728565443
"30"	"HC-DS"	"Nitrotoluene degradation"	"Lachnospiraceae"	0.694039664021317
"31"	"HC-DS"	"Nitrotoluene degradation"	"Pseudomonadaceae"	0.012213910389282
"32"	"HC-DS"	"Nitrotoluene degradation"	"Sporomusaceae"	1.39617630829208
"33"	"HC-HD"	"Aminobenzoate degradation"	"Bacteroidaceae"	0.00884051302893
"34"	"HC-HD"	"Aminobenzoate degradation"	"Enterobacteriaceae"	38.3544047140336
"35"	"HC-HD"	"Aminobenzoate degradation"	"Lachnospiraceae"	0.393886015722155
"36"	"HC-HD"	"Aminobenzoate degradation"	"Pseudomonadaceae"	1.47532772086026
"37"	"HC-HD"	"Aminobenzoate degradation"	"Rhizobiaceae"	0.02254867695638
"38"	"HC-HD"	"Aminobenzoate degradation"	"Yersiniaceae"	0.050560934130841
"39"	"HC-HD"	"Benzoate degradation"	"Bacteroidaceae"	0.005396989096076
"40"	"HC-HD"	"Benzoate degradation"	"Enterobacteriaceae"	79.6065781441777
"41"	"HC-HD"	"Benzoate degradation"	"Lachnospiraceae"	0.932887931973524
"42"	"HC-HD"	"Benzoate degradation"	"Pseudomonadaceae"	2.1353427538767
"43"	"HC-HD"	"Benzoate degradation"	"Rhizobiaceae"	0.035603174141652
"44"	"HC-HD"	"Benzoate degradation"	"Yersiniaceae"	0.064078649333121
"45"	"HC-HD"	"Caprolactam degradation"	"Enterobacteriaceae"	55.5464414928176
"46"	"HC-HD"	"Caprolactam degradation"	"Pseudomonadaceae"	2.81014803973384
"47"	"HC-HD"	"Caprolactam degradation"	"Rhizobiaceae"	0.055221249689093
"48"	"HC-HD"	"Caprolactam degradation"	"Yersiniaceae"	0.094090873775804
"49"	"HC-HD"	"Chloroalkane and chloroalkene degradation"	"Bacteroidaceae"	0.012058999397917
"50"	"HC-HD"	"Chloroalkane and chloroalkene degradation"	"Enterobacteriaceae"	18.8847234406836
"51"	"HC-HD"	"Chloroalkane and chloroalkene degradation"	"Lachnospiraceae"	13.6345159288438
"52"	"HC-HD"	"Chloroalkane and chloroalkene degradation"	"Pseudomonadaceae"	2.08059037557217
"53"	"HC-HD"	"Chloroalkane and chloroalkene degradation"	"Rhizobiaceae"	0.055752223243796
"54"	"HC-HD"	"Chloroalkane and chloroalkene degradation"	"Yersiniaceae"	0.056788801616699
"55"	"HC-HD"	"Chlorocyclohexane and chlorobenzene degradation"	"Enterobacteriaceae"	30.9421535167615
"56"	"HC-HD"	"Chlorocyclohexane and chlorobenzene degradation"	"Lachnospiraceae"	1.18165804716646
"57"	"HC-HD"	"Chlorocyclohexane and chlorobenzene degradation"	"Pseudomonadaceae"	1.47532772086026
"58"	"HC-HD"	"Chlorocyclohexane and chlorobenzene degradation"	"Rhizobiaceae"	0.033823015434569
"59"	"HC-HD"	"Chlorocyclohexane and chlorobenzene degradation"	"Yersiniaceae"	0.019955579106396
"60"	"HC-HD"	"Nitrotoluene degradation"	"Enterobacteriaceae"	20.364090851255
"61"	"HC-HD"	"Nitrotoluene degradation"	"Lachnospiraceae"	1.07423458833315
"62"	"HC-HD"	"Nitrotoluene degradation"	"Pseudomonadaceae"	0.223534503160646
"63"	"HC-HD"	"Nitrotoluene degradation"	"Rhizobiaceae"	0.043925994070869
"64"	"HC-HD"	"Nitrotoluene degradation"	"Yersiniaceae"	0.018141435551269
"65"	"HC-HD"	"Xylene degradation"	"Enterobacteriaceae"	45.8758201410151
"66"	"HC-HD"	"Xylene degradation"	"Lachnospiraceae"	1.18165804716646
"67"	"HC-HD"	"Xylene degradation"	"Rhizobiaceae"	0.019327437391183
"68"	"HC-HD"	"Xylene degradation"	"Yersiniaceae"	0.019955579106396
"69"	"HC-HX"	"Aminobenzoate degradation"	"Bifidobacteriaceae"	0.000367861757552
"70"	"HC-HX"	"Aminobenzoate degradation"	"Clostridiaceae"	0.0242788759984
"71"	"HC-HX"	"Aminobenzoate degradation"	"Comamonadaceae"	0.137580297324266
"72"	"HC-HX"	"Aminobenzoate degradation"	"Enterobacteriaceae"	43.1407117205355
"73"	"HC-HX"	"Aminobenzoate degradation"	"Lactobacillaceae"	0.000551792636327
"74"	"HC-HX"	"Aminobenzoate degradation"	"Moraxellaceae"	1.67597816740469
"75"	"HC-HX"	"Aminobenzoate degradation"	"Ruminococcaceae"	0.000275896318164
"76"	"HC-HX"	"Aminobenzoate degradation"	"Streptococcaceae"	0.003862548454291
"77"	"HC-HX"	"Aminobenzoate degradation"	"Veillonellaceae"	0.001471447030206
"78"	"HC-HX"	"Aminobenzoate degradation"	"Xanthomonadaceae"	0.101713775962993
"79"	"HC-HX"	"Benzoate degradation"	"Bifidobacteriaceae"	0.000290417177014
"80"	"HC-HX"	"Benzoate degradation"	"Clostridiaceae"	0.031945889471579
"81"	"HC-HX"	"Benzoate degradation"	"Comamonadaceae"	0.197483680369759
"82"	"HC-HX"	"Benzoate degradation"	"Desulfitobacteriaceae"	0.021563475393316
"83"	"HC-HX"	"Benzoate degradation"	"Enterobacteriaceae"	89.5531133084397
"84"	"HC-HX"	"Benzoate degradation"	"Lactobacillaceae"	0.000653438648282
"85"	"HC-HX"	"Benzoate degradation"	"Moraxellaceae"	2.87977672727431
"86"	"HC-HX"	"Benzoate degradation"	"Ruminococcaceae"	0.001089064413804
"87"	"HC-HX"	"Benzoate degradation"	"Streptococcaceae"	0.004065840478201
"88"	"HC-HX"	"Benzoate degradation"	"Veillonellaceae"	0.001161668708057
"89"	"HC-HX"	"Benzoate degradation"	"Xanthomonadaceae"	0.057357392460335
"90"	"HC-HX"	"Caprolactam degradation"	"Comamonadaceae"	0.213047960345437
"91"	"HC-HX"	"Caprolactam degradation"	"Desulfitobacteriaceae"	0.005287035780631
"92"	"HC-HX"	"Caprolactam degradation"	"Enterobacteriaceae"	61.9272459146738
"93"	"HC-HX"	"Caprolactam degradation"	"Moraxellaceae"	3.77846823789113
"94"	"HC-HX"	"Caprolactam degradation"	"Xanthomonadaceae"	0.123755800494776
"95"	"HC-HX"	"Chlorocyclohexane and chlorobenzene degradation"	"Comamonadaceae"	0.075043798540509
"96"	"HC-HX"	"Chlorocyclohexane and chlorobenzene degradation"	"Enterobacteriaceae"	34.7789380750714
"97"	"HC-HX"	"Chlorocyclohexane and chlorobenzene degradation"	"Lactobacillaceae"	0.000827688954491
"98"	"HC-HX"	"Chlorocyclohexane and chlorobenzene degradation"	"Moraxellaceae"	0.887282559214248
"99"	"HC-HX"	"Chlorocyclohexane and chlorobenzene degradation"	"Xanthomonadaceae"	0.087183236539708
"100"	"HC-HX"	"Nitrotoluene degradation"	"Clostridiaceae"	0.088212128679638
"101"	"HC-HX"	"Nitrotoluene degradation"	"Comamonadaceae"	0.034081958808042
