#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
K00001	3925.65983824997	6541.71837491788	4524.81201625834	5353.07586298721
K00002	4.66374416087384	2.86275672673828	0	3.05795543124019
K00003	818.530608818465	1861.47	1184.12460780557	3306.9908951631
K00004	349.725764220319	521.696044900469	659.108287191512	1540.97011475507
K00005	1599.27740587442	2018.18021691839	1017.06165516111	1650.95434217114
K00007	1783.75100323027	1826.28985450338	2059.80936141239	1715.18920119987
K00008	3766.81539229909	3762.35451720777	3807.25010466223	3545.10474690801
K00009	9934.62370171152	10321.6917612501	11212.3868106061	9815.87110772719
K00010	2763.5201940832	2653.90158498313	2811.47402321674	2509.29005044102
K00011	0	5.45396505167414E-54	0	7.81528094490268E-54
K00012	11017.5449893052	11808.2824962015	12371.5404002012	12364.7900175981
K00013	11257.8273238254	13146.457418138	12813.0003276769	12630.9614779544
K00014	11460.7585634519	13702.1202532988	12977.7373609085	13103.8857462218
K00015	359.72002272009	1.18543200332283E-52	2.53737122616304	13.6127219299826
K00016	8363.60162916842	8603.37028257984	8849.44697008211	8061.99161951651
K00018	13745.723286313	16216.9602013516	15027.1203635465	13979.873412749
K00019	1134.54174105999	2240.32233623897	1678.12976265004	2660.97529650649
K00020	20061.1922299885	23187.7981643734	23725.2002407311	22993.1951279844
K00021	3003.01065455829	3171.51767797032	3432.75834172902	2956.27660249321
K00022	0	9.70768467696457E-126	0	1.39106654252793E-125
K00023	9716.22998233324	11223.3778756864	11472.9757778104	10316.2834262766
K00024	10024.1795738931	10466.5756744387	11902.6593485026	11080.9307620386
K00025	0	4.82447912673023E-53	0	6.91325658140067E-53
K00027	10638.2420186259	10964.7431777141	11826.3842547817	11670.4069930169
K00028	0	6.730606084551E-131	0	9.64464879805033E-131
K00029	9740.80999966023	11762.6921266558	12005.431680749	11853.693445662
K00030	164.400843785602	543.970000000015	119.491499939906	55.7947664989852
K00031	11174.3422014573	13903.0914074437	13353.6761116085	14307.8434606377
K00032	0	1.27996489244195E-50	0	1.83413079095096E-50
K00033	12041.7184976399	12343.3369534992	13449.4075179654	12354.177877903
K00034	66.3448557387632	1308.50000613043	0.065853343550614	575.918160086736
K00035	0	9	0	3.87818768229453E-51
K00036	11941.0999278233	16032.5695198992	13237.4880759357	13460.9939476946
K00038	0	2.86275672658645	3.32250101145177	3.3664880623891E-12
K00039	0	0.176662003690315	48.6816811491399	0.253148521864003
K00040	1261.64967520945	1495.92371797703	1011.8143023649	1832.60038102321
K00041	288.052314374352	310.329592076526	14.7197961214022	500.846461999128
K00042	1946.16320495871	3011.42755781648	2483.43220090298	3918.9553465245
K00043	0	1.76986478509395E-53	0	2.53613479348445E-53
K00045	66.28	1319.69999919335	2.63422860007321	507.97
K00046	1872.16404208125	2059.72194895642	1147.80938681897	1875.06323205342
K00048	105.338922843914	20.4787051822285	5.83157434094824	350.008030940049
K00049	0	3.60769047911717E-127	0	5.16965444211941E-127
K00050	70.7650126373736	1355.9014386505	71	524.30773692818
K00051	0.041608740037205	7.62687388009718E-55	0.053478317916157	1.09289593056712E-54
K00052	11256.8966999711	13162.3440632408	12878.8078325902	12615.0066801555
K00053	10450.5888576609	12299.19636328	11904.8763651275	11837.2134681648
K00054	3.74296599197191	3.95137016814851E-50	75.9667952290797	67.95
K00055	2.3332259550084	10.6127756881358	128.931306224169	8.75954775532362
K00057	11449.6951051227	13403.3058315638	12851.5583064377	12850.6171307575
K00058	22771.398412369	25959.3990742404	26071.3807278232	25389.9047514189
K00059	38017.5083772431	44191.1942732239	44362.7127060801	44436.4653553964
K00060	9682.88425482022	10445.6653379329	11397.7178736663	9882.42463254456
K00064	916.730829487232	1435.34482922855	1266.02809162459	1083.24652031801
K00065	11384.1302618865	11655.3551600034	12667.9224785793	12010.0914815771
K00066	0	0.373158657482796	0	4.13835463206576E-49
K00067	11133.4375495042	16311.9371328335	11801.9497094395	13949.1221844995
K00068	1041.78818832581	930.806984851809	996.341519830993	982.268749890159
K00073	9.99487269424754	5.66501894883993	0.031942498320141	203.242087582614
K00074	1651.10209889529	1626.12077594181	992.085835587555	3534.13971462387
K00075	10497.1229545868	12300.766258906	11944.5559394036	11797.2076180223
K00076	0.142910931976798	1.93629626226089E-38	2.37843460681119	2.77462344161679E-38
K00077	11772.061238881	14464.9018254151	12441.3301626787	12415.8588798971
K00078	0	1.17046462270158E-128	0	1.67722194326757E-128
K00082	0	1.70036280927673E-06	0.815584766662626	2.43654166039852E-06
K00083	0	2.66309995853242E-125	0	3.81609969317659E-125
K00086	430.39661779359	4.38765088265898E-13	0.415269474232228	6.28730180909471E-13
K00087	341.65112762452	9.00000000008537	0.057922936811778	499.892721930105
K00088	18890.3011618749	21181.5254365234	21618.0503720201	20648.2235713456
K00090	0	19.0160532101438	680.793444473961	1477.00002435487
K00091	0.08811635231419	3.55223220572821	140.604194660319	0.322575547178504
K00093	0	8.89610566834691E-127	0	1.2747710052218E-126
K00094	4.5946070410223	1.72762165609512	0.14085801095911	96.0996801244678
K00096	420.139864743166	543.970000732162	7.62600323154539	10.7102566431446
K00097	11942.0386155245	13792.2059348654	13860.6568928827	14531.0584635634
K00098	0	22.6640819706234	0	196.426586534847
K00099	11304.6678442915	13129.220425922	12842.5656871176	12857.3746685749
K00100	8722.97359004617	9293.37891719925	10057.1141478798	8972.98657620016
K00101	8863.91550428505	9589.83975121307	11183.3958947293	10498.175862414
K00102	147.530417781331	9	171.045833276603	67.95
K00103	0	6.42237342685293E-52	1.89	9.20296558345675E-52
K00104	1238.18733764723	1861.47	173.868506534679	810.062472730006
K00105	0	1.50613589709251E-48	0	2.15822343294404E-48
K00106	0	1.34706915549956E-55	0	1.93028811198749E-55
K00107	0	1.79865061189917E-56	0	2.57738355866402E-56
K00108	16080.7819766306	18787.124220306	19453.5566316665	17945.7941317094
K00109	0	2.92449924267352E-55	0	4.19067283858611E-55
K00111	22602.0868533062	25811.5042129589	25782.4536716164	25104.7649533218
K00112	7990.25998486579	8655.94017308966	9389.05998601807	8214.17984489268
K00113	7993.58172815947	8658.80294267459	9389.06	8214.17985693752
K00114	49.7106557441925	981.387945704223	68	380.982525624283
K00116	389.859556512169	1327.77634184377	515.099429276102	1762.08211082611
K00117	215.409344255808	4279.52634738883	1428.47037935202	4072.60065749511
K00118	0	1.67793293579253E-49	0	2.40440068384718E-49
K00121	8698.25093229974	10622.3963953849	10593.708945146	11300.6512221639
K00122	0.6247694435812	2.35133955864171E-14	0.803059365059697	3.36936138635646E-14
K00123	9799.3961912882	15117.3323479463	10893.2433424086	11601.9661688028
K00124	3140.50765300044	5812.5544494273	3630.88782770866	4267.50443273503
K00125	0	1.53437827788232E-53	0	2.19869346499119E-53
K00126	0	9	48.6816811491399	67.95
K00127	3959.56806643461	6642.20340460877	4486.53845229585	5046.08931234871
K00128	13078.5181794784	16576.8517165757	15753.9883480007	14813.0639980431
K00129	0	9.24655502571958E-20	0	1.32498878547669E-19
K00130	7064.99259385114	8599.13634175612	9033.14123819838	8758.53963598275
K00131	225.387068768631	1856.97	314.453733596029	508.322603991175
K00132	46.9092715033849	7.89689491834916E-54	7.44692502214307	0.066420684082949
K00133	20984.6832768397	23524.3116957949	24143.0631507908	22582.4922336056
K00134	29581.6848801858	35180.2628741767	34116.538065311	32912.8206827505
K00135	22481.4713688979	26577.1037628244	27636.6894623612	26920.895376469
K00137	0	32.4280116403338	0	129.571262597925
K00138	10944.0510822781	13619.0710382371	12429.639036072	12314.8798287953
K00140	10051.4286526519	12892.6490123205	12348.5575040961	13626.1073716139
K00141	0	0.176667276727758	366.679112188449	0.253377562628038
K00145	10525.5891523302	13934.4377698286	11966.9667675713	12540.1848846149
K00146	0	18.0621981057404	664.964483826521	1313.57252034463
K00147	23822.1398303367	26749.6224078973	27617.2348014983	25373.2919371
K00148	0	2.37791436087527E-14	1.20764769292083	3.40744185506917E-14
K00150	0	4.73289375675498E-53	3.20777206136262E-05	6.78201896069392E-53
K00151	984.649087700228	708.13715295325	927.95683737212	825.257329595191
K00152	41.4246721279038	817.806027147889	0	317.478737187859
K00153	0	6.176191296117E-54	1.09345752557463	8.85019791863178E-54
K00154	11362.0389960239	13388.0754724066	14223.5193574205	14057.6182725631
K00156	66.28	1328.52708646176	36.0549112942745	732.265395144625
K00158	3.5	2.64170384358716E-54	4.23112962029675	3.78544004504127E-54
K00161	9642.75069231388	9582.9308146564	10403.6861218552	10027.1610443705
K00162	9642.79230105392	9584.58887362895	10403.850299964	10027.1610443705
K00163	10551.4247535907	12578.2548067718	12955.2425331981	12568.4412194963
K00164	10875.0040527227	12566.363283937	12808.4975780284	12363.3286555626
K00166	554.365971213405	245.267346565582	328.430689779413	289.83295464122
K00167	554.365971213405	245.267346565582	328.430689779413	289.83295464122
K00169	15.0802555732805	6.85761377927213E-30	6.4413377990816	3.59476649896337
K00170	14.9315985221422	6.85761377927213E-30	5.35735155034305	3.59476649896337
K00171	14.929884479846	1.52770418209593E-40	5.35514854927262	3.59476649896337
K00172	162.259036905986	6.85761377927213E-30	6.44779083606519	3.59476649896337
K00174	629.343958131742	584.330000111374	88.6745498480743	476.555872020989
K00175	636.553961394218	584.330000111323	88.6745498480743	480.150638519952
K00176	127.07315842848	20.1800000000516	36.4852083078642	277.979743356855
K00177	139.83106976512	20.18	44.1373339063222	277.979743356855
K00179	863.629446243724	696.828281320068	782.285534766632	1587.34445111431
K00180	860.258549363405	696.828281097577	782.210682548669	1587.37175386138
K00183	0	4.08380301243462E-53	0	5.85190179317697E-53
K00184	5.48244460961855	6.73661165253219E-50	0	3.59476649896337
K00185	5.48244460961855	6.73058689253733E-50	0	3.59476649896337
K00186	0	1.19334768658324E-54	0	1.71001232080409E-54
K00187	0	1.86416454285979E-53	0	2.67126200698761E-53
K00188	0	4.13425176945991E-56	0	5.92419254050267E-56
K00189	0	1.6034323603627E-53	0	2.29764478753606E-53
K00192	0	3.05011058197099E-56	0	4.37066810756456E-56
K00193	0	4.43036140366934E-56	0	6.34850402030005E-56
K00194	10.7633176817534	8.34938874958024E-53	0	3.59476649896337
K00195	0	3.51874427859842E-56	0	5.04219862979764E-56
K00196	107.344849545098	1.10040196597905E-52	5.2859028537527	250.14834581488
K00197	10.7633176817534	1.00386939191405E-52	0	3.59476649896337
K00198	136.53153698282	2.57052701888321E-27	20.4997064554322	455.750895163098
K00200	0	7.53410092796037E-51	0	1.07960199343757E-50
K00201	0	7.53358662969086E-51	0	1.07952829686218E-50
K00202	0	7.53335417784741E-51	0	1.07949498758269E-50
K00203	0	5.8517820809924E-54	0	8.38533444163977E-54
K00204	0	2.84457041124138E-56	0	4.07613850121476E-56
K00205	0	6.35179068558718E-50	0	9.10182376321647E-50
K00208	389.859556512169	1362.40116417059	640.559509014514	1918.00022382892
K00209	20979.6805927479	22460.8112417659	24428.2925555336	21139.6323833935
K00210	0	20.1800001112713	163.499500368567	842.711593809505
K00211	0	2.51981283502982E-55	0	3.61077583881561E-55
