#OTU ID	description	HC-DS	HC-HD	HC-HX	HC-XY
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	3925.65983824997	6541.71837491788	4524.81201625834	5353.07586298721
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	4.66374416087384	2.86275672673828	0.0	3.05795543124019
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	818.530608818465	1861.47	1184.12460780557	3306.9908951631
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	349.725764220319	521.696044900469	659.108287191512	1540.97011475507
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	1599.27740587442	2018.18021691839	1017.06165516111	1650.95434217114
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	1783.75100323027	1826.28985450338	2059.80936141239	1715.18920119987
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	3766.81539229909	3762.35451720777	3807.25010466223	3545.10474690801
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	9934.62370171152	10321.6917612501	11212.3868106061	9815.87110772719
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	2763.5201940832	2653.90158498313	2811.47402321674	2509.29005044102
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]	0.0	5.45396505167414e-54	0.0	7.81528094490268e-54
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	11017.5449893052	11808.2824962015	12371.5404002012	12364.7900175981
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	11257.8273238254	13146.457418138	12813.0003276769	12630.9614779544
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	11460.7585634519	13702.1202532988	12977.7373609085	13103.8857462218
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	359.72002272009	1.1854320033228301e-52	2.53737122616304	13.6127219299826
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	8363.60162916842	8603.37028257984	8849.44697008211	8061.99161951651
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	13745.723286313	16216.9602013516	15027.1203635465	13979.873412749
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1134.54174105999	2240.32233623897	1678.12976265004	2660.97529650649
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	20061.1922299885	23187.7981643734	23725.2002407311	22993.1951279844
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	3003.01065455829	3171.51767797032	3432.75834172902	2956.27660249321
K00022	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	0.0	9.707684676964569e-126	0.0	1.3910665425279298e-125
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	9716.22998233324	11223.3778756864	11472.9757778104	10316.2834262766
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	10024.1795738931	10466.5756744387	11902.6593485026	11080.9307620386
K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]	0.0	4.82447912673023e-53	0.0	6.91325658140067e-53
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	10638.2420186259	10964.7431777141	11826.3842547817	11670.4069930169
K00028	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	0.0	6.730606084551e-131	0.0	9.64464879805033e-131
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	9740.80999966023	11762.6921266558	12005.431680749	11853.693445662
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	164.400843785602	543.970000000015	119.491499939906	55.7947664989852
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	11174.3422014573	13903.0914074437	13353.6761116085	14307.8434606377
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	0.0	1.27996489244195e-50	0.0	1.8341307909509599e-50
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	12041.7184976399	12343.3369534992	13449.4075179654	12354.177877903
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	66.3448557387632	1308.50000613043	0.065853343550614	575.918160086736
K00035	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	0.0	9.0	0.0	3.87818768229453e-51
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	11941.0999278233	16032.5695198992	13237.4880759357	13460.9939476946
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	0.0	2.86275672658645	3.32250101145177	3.3664880623891e-12
